;Codigo Municipio;Nombre;Clase;CodProv
173;3036;BENILLUP;7;3
174;3037;BENIMANTELL;35;3
175;3038;BENIMARFULL;67;3
176;3039;BENIMASSOT;11;3
177;3040;BENIMELI;32;3
178;3041;BENISSA;1894;3
179;3042;EL POBLE NOU DE BENITATXELL;532;3
180;3043;BIAR;361;3
181;3044;BIGASTRO;770;3
182;3045;BOLULLA;7;3
183;3046;BUSOT;364;3
184;3049;CALLOSA DE SEGURA;3364;3
185;3048;CALLOSA D'EN SARRIA;732;3
186;3047;CALPE;5926;3
187;3050;CAMPELLO (EL);5789;3
188;3051;CAMPO DE MIRRA;32;3
189;3052;CAÑADA;154;3
190;3053;CASTALLA;1274;3
191;3054;CASTELL DE CASTELLS;39;3
192;3075;GUADALEST;105;3
193;3055;CATRAL;1218;3
194;3056;COCENTAINA;1369;3
195;3057;CONFRIDES;56;3
196;3058;COX;1054;3
197;3059;CREVILLENTE;4263;3
198;3061;DAYA NUEVA;270;3
199;3062;DAYA VIEJA;119;3
200;3063;DENIA;721;3
201;3064;DOLORES;1124;3
202;3065;ELCHE;3619;3
203;3066;ELDA;280;3
204;3067;FACHECA;7;3
205;3068;FAMORCA;0;3
206;3069;FINESTRAT;2216;3
207;3077;HONDON DE LAS NIEVES;354;3
208;3070;FORMENTERA DEL SEGURA;847;3
209;3072;GAIANES;32;3
210;3071;GATA DE GORGOS;627;3
211;3073;GORGA;14;3
212;3074;GRANJA DE ROCAMORA;263;3
213;3076;GUARDAMAR DEL SEGURA;4480;3
214;3078;HONDON DE LOS FRAILES;298;3
215;3079;IBI;2303;3
216;3080;JACARILLA;245;3
217;3082;JAVEA;5142;3
218;3083;JIJONA;672;3
219;3085;LLIBER;60;3
220;3084;LORCHA;53;3
221;3086;MILLENA;21;3
222;3088;MONFORTE DEL CID;1012;3
223;3089;MONOVAR;1225;3
224;3903;MONTESINOS (LOS);648;3
225;3091;MURLA;42;3
226;3092;MURO DE ALCOY;784;3
227;3090;MUTXAMEL;2765;3
228;3093;NOVELDA;2457;3
229;3094;NUCIA (LA);2296;3
230;3095;ONDARA;1397;3
231;3096;ONIL;760;3
232;3097;ORBA;277;3
233;3099;ORIHUELA;8386;3
234;3098;ORXETA;95;3
235;3100;PARCENT;63;3
236;3101;PEDREGUER;1215;3
237;3102;PEGO;1190;3
238;3103;PENAGUILA;53;3
239;3104;PETRER;133;3
240;3902;PILAR DE LA HORADADA;3427;3
241;3105;PINOSO;882;3
242;3106;PLANES;56;3
