;Comunidad Autónoma;Provincia;Municipio;Código;CodProv;Codigo_Mapa
97;Castilla-La Mancha;ALBACETE;CENIZATE;02026;02;02026
98;Castilla-La Mancha;ALBACETE;CORRAL-RUBIO;02027;02;02027
99;Castilla-La Mancha;ALBACETE;COTILLAS;02028;02;02028
100;Castilla-La Mancha;ALBACETE;CHINCHILLA DE MONTE-ARAGON;02029;02;02029
101;Castilla-La Mancha;ALBACETE;ELCHE DE LA SIERRA;02030;02;02030
102;Castilla-La Mancha;ALBACETE;FEREZ;02031;02;02031
103;Castilla-La Mancha;ALBACETE;FUENSANTA;02032;02;02032
104;Castilla-La Mancha;ALBACETE;FUENTE-ALAMO;02033;02;02033
105;Castilla-La Mancha;ALBACETE;FUENTEALBILLA;02034;02;02034
106;Castilla-La Mancha;ALBACETE;GINETA (LA);02035;02;02035
107;Castilla-La Mancha;ALBACETE;GOLOSALVO;02036;02;02036
108;Castilla-La Mancha;ALBACETE;HELLIN;02037;02;02037
109;Castilla-La Mancha;ALBACETE;HERRERA (LA);02038;02;02038
110;Castilla-La Mancha;ALBACETE;HIGUERUELA;02039;02;02039
111;Castilla-La Mancha;ALBACETE;HOYA-GONZALO;02040;02;02040
112;Castilla-La Mancha;ALBACETE;JORQUERA;02041;02;02041
113;Castilla-La Mancha;ALBACETE;LETUR;02042;02;02042
114;Castilla-La Mancha;ALBACETE;LEZUZA;02043;02;02043
115;Castilla-La Mancha;ALBACETE;LIETOR;02044;02;02044
116;Castilla-La Mancha;ALBACETE;MADRIGUERAS;02045;02;02045
117;Castilla-La Mancha;ALBACETE;MAHORA;02046;02;02046
118;Castilla-La Mancha;ALBACETE;MASEGOSO;02047;02;02047
119;Castilla-La Mancha;ALBACETE;MINAYA;02048;02;02048
120;Castilla-La Mancha;ALBACETE;MOLINICOS;02049;02;02049
121;Castilla-La Mancha;ALBACETE;MONTALVOS;02050;02;02050
122;Castilla-La Mancha;ALBACETE;MONTEALEGRE DEL CASTILLO;02051;02;02051
123;Castilla-La Mancha;ALBACETE;MOTILLEJA;02052;02;02052
124;Castilla-La Mancha;ALBACETE;MUNERA;02053;02;02053
125;Castilla-La Mancha;ALBACETE;NAVAS DE JORQUERA;02054;02;02054
126;Castilla-La Mancha;ALBACETE;NERPIO;02055;02;02055
127;Castilla-La Mancha;ALBACETE;ONTUR;02056;02;02056
128;Castilla-La Mancha;ALBACETE;OSSA DE MONTIEL;02057;02;02057
129;Castilla-La Mancha;ALBACETE;PATERNA DEL MADERA;02058;02;02058
130;Castilla-La Mancha;ALBACETE;PEÑASCOSA;02059;02;02059
131;Castilla-La Mancha;ALBACETE;PEÑAS DE SAN PEDRO;02060;02;02060
132;Castilla-La Mancha;ALBACETE;PETROLA;02061;02;02061
133;Castilla-La Mancha;ALBACETE;POVEDILLA;02062;02;02062
134;Castilla-La Mancha;ALBACETE;POZOHONDO;02063;02;02063
135;Castilla-La Mancha;ALBACETE;POZO-LORENTE;02064;02;02064
136;Castilla-La Mancha;ALBACETE;POZUELO;02065;02;02065
137;Castilla-La Mancha;ALBACETE;RECUEJA (LA);02066;02;02066
